,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
634,Coshocton,OH,0.694,0.261,14961.0,10381.0,3908.0,0.733,0.248,16348.0,11982.0,4057.0,40.30096166,-81.91729018,417.0,12.0,36602.0,18192.0,18410.0,1.0,96.1,1.1,0.2,0.3,0.0,27920.0,43251.0,2607.0,21520.0,669.0,15.0,21.2,22.0,18.7,19.5,13.1,26.7,80.0,9.6,0.4,2.5,2.0,5.5,23.9,15613.0,81.1,11.0,7.5,0.4,6.7
635,Costilla,CO,0.319,0.609,1820.0,581.0,1109.0,0.351,0.63,2031.0,713.0,1279.0,37.27732493,-105.4276548,42.0,1.0,3628.0,1958.0,1670.0,63.8,32.1,0.4,0.1,1.5,0.0,2812.0,29000.0,4573.0,20737.0,2701.0,29.6,49.9,25.2,18.1,23.6,22.7,10.4,74.1,14.2,0.0,4.3,0.0,7.4,18.1,1242.0,63.5,22.4,14.1,0.0,9.1
636,Cottle,TX,0.834,0.144,583.0,486.0,84.0,0.817,0.17,665.0,543.0,113.0,34.07783319,-100.27850620000001,40.0,3.0,1498.0,758.0,740.0,32.7,53.6,10.2,0.3,0.0,0.0,1061.0,33534.0,5773.0,20566.0,2966.0,24.5,35.8,26.0,29.2,17.7,22.3,4.9,69.5,17.5,0.3,8.2,3.0,1.6,15.2,651.0,61.6,24.6,13.4,0.5,10.7
637,Cotton,OK,0.789,0.163,2602.0,2054.0,424.0,0.823,0.153,2572.0,2117.0,393.0,34.28845626,-98.37053567,110.0,3.0,6000.0,2973.0,3027.0,7.3,76.6,2.0,8.2,0.0,0.0,4610.0,49962.0,3189.0,21887.0,1195.0,15.4,13.9,32.9,15.9,24.9,12.5,13.8,79.9,12.2,0.0,2.6,1.3,4.0,23.0,2435.0,67.4,23.2,9.3,0.2,8.7
638,Cottonwood,MN,0.646,0.295,5697.0,3679.0,1678.0,0.683,0.301,6097.0,4165.0,1834.0,44.00715262,-95.18138802,318.0,0.0,11437.0,5660.0,5777.0,7.1,87.1,0.6,0.5,2.8,0.3,8312.0,50524.0,2661.0,27206.0,1357.0,15.6,18.7,28.9,16.8,17.6,13.4,23.3,76.7,11.2,0.7,4.1,1.4,5.9,16.8,5365.0,79.0,11.9,9.0,0.1,5.1
639,Covington,AL,0.836,0.15,15818.0,13222.0,2379.0,0.837,0.156,17418.0,14579.0,2717.0,31.247785399999998,-86.45050893,1892.0,30.0,37519.0,18133.0,19386.0,1.6,83.5,13.0,0.3,0.4,0.0,29164.0,39467.0,2392.0,22431.0,830.0,17.6,25.0,29.2,14.3,22.2,15.8,18.4,86.8,8.6,0.2,1.1,1.5,1.9,25.2,14686.0,80.0,13.2,6.7,0.1,10.7
640,Covington,MS,0.617,0.372,8790.0,5423.0,3267.0,0.625,0.364,9294.0,5811.0,3382.0,31.63225413,-89.55389939,1009.0,29.0,19172.0,9219.0,9953.0,2.4,60.7,35.6,0.0,0.2,0.1,14268.0,36471.0,3535.0,18749.0,1653.0,23.1,35.5,24.4,16.0,24.5,17.9,17.2,80.5,16.1,0.3,1.0,1.2,0.8,26.1,7377.0,77.7,16.1,6.1,0.1,8.8
641,Covington city,VA,0.569,0.386,2369.0,1349.0,914.0,0.609,0.372,2594.0,1580.0,964.0,,,,,5675.0,2876.0,2799.0,2.0,81.5,13.0,0.0,1.5,0.2,4516.0,35546.0,3357.0,22098.0,2387.0,19.9,31.7,18.3,18.6,34.5,8.9,19.7,90.6,3.4,0.0,1.8,1.7,2.5,17.8,2173.0,77.8,19.4,2.8,0.0,5.6
642,Coweta,GA,0.693,0.27,61315.0,42513.0,16572.0,0.671,0.315,76799.0,51501.0,24210.0,33.35334302,-84.76129976,3018.0,63.0,138015.0,67326.0,70689.0,6.8,71.5,17.4,0.1,1.8,0.0,98257.0,67570.0,1607.0,31548.0,895.0,11.6,16.6,34.7,15.8,24.6,10.1,14.8,81.5,10.9,0.6,0.4,1.8,4.8,31.0,66983.0,81.2,13.6,5.0,0.2,5.4
643,Cowley,KS,0.659,0.282,12171.0,8016.0,3436.0,0.679,0.3,13911.0,9442.0,4171.0,37.23781842,-96.83776647,552.0,10.0,35732.0,17973.0,17759.0,10.6,80.2,2.6,1.8,1.6,0.0,26608.0,46624.0,2505.0,23130.0,789.0,16.0,21.2,27.1,20.3,20.5,11.6,20.6,80.2,12.7,0.0,2.1,1.5,3.5,18.0,15567.0,76.8,16.7,6.1,0.4,5.2
644,Cowlitz,WA,0.53,0.401,38119.0,20216.0,15296.0,0.574,0.399,59608.0,34215.0,23802.0,46.19074721,-122.6782231,832.0,7.0,103590.0,51079.0,52511.0,8.6,84.3,0.7,1.0,1.3,0.2,77551.0,49804.0,1607.0,25878.0,750.0,16.9,22.4,27.7,19.4,21.3,12.8,18.8,79.2,12.3,0.2,2.3,1.3,4.8,24.6,42579.0,79.2,14.1,6.4,0.3,8.4
645,Craig,OK,0.741,0.216,5778.0,4279.0,1249.0,0.777,0.202,6032.0,4686.0,1217.0,36.76268118,-95.20916602,649.0,2.0,14563.0,7416.0,7147.0,3.4,64.2,2.9,20.5,0.8,0.2,11198.0,40465.0,1809.0,20666.0,877.0,17.9,24.5,27.8,21.4,23.2,11.7,16.0,83.9,8.4,0.2,1.4,2.3,3.8,21.3,5783.0,69.6,20.6,9.5,0.3,5.5
646,Craig,VA,0.768,0.194,2784.0,2139.0,541.0,0.802,0.186,3163.0,2536.0,587.0,37.48133648,-80.21072274,61.0,0.0,5131.0,2525.0,2606.0,0.0,99.4,0.1,0.0,0.0,0.0,4155.0,53526.0,15331.0,26753.0,2527.0,9.3,7.5,25.5,18.8,22.2,11.2,22.3,79.7,14.4,0.0,0.1,2.0,3.8,37.6,2219.0,71.5,26.4,2.2,0.0,4.1
647,Craighead,AR,0.644,0.296,35404.0,22798.0,10474.0,0.664,0.309,38364.0,25482.0,11854.0,35.83018283,-90.63235729,4938.0,48.0,104246.0,50774.0,53472.0,4.9,77.3,13.4,0.2,1.1,0.1,75467.0,45672.0,1662.0,25594.0,1217.0,18.3,25.1,34.3,17.1,22.4,9.6,16.5,82.2,11.3,0.2,2.3,0.7,3.3,18.5,48216.0,80.1,13.4,6.2,0.2,6.0
648,Crane,TX,0.758,0.217,1381.0,1047.0,299.0,0.83,0.16,1503.0,1247.0,241.0,31.43052248,-102.5143314,77.0,4.0,4836.0,2515.0,2321.0,62.8,32.9,4.2,0.1,0.0,0.0,2746.0,63935.0,9605.0,24582.0,1869.0,11.8,16.6,19.1,16.7,16.1,27.2,20.9,78.5,17.3,1.7,0.8,1.4,0.4,28.5,2023.0,84.0,13.2,2.8,0.0,2.6
649,Craven,NC,0.596,0.378,46231.0,27556.0,17481.0,0.586,0.399,52826.0,30943.0,21098.0,35.11833364,-77.08398081,2441.0,62.0,103374.0,52488.0,50886.0,7.1,66.0,21.0,0.5,2.8,0.0,78048.0,49391.0,1367.0,26830.0,833.0,15.4,25.7,33.1,20.4,22.0,12.1,12.5,81.0,11.1,0.2,2.9,1.8,3.1,21.6,40286.0,72.2,22.9,4.7,0.1,8.1
650,Crawford,AR,0.743,0.2,22403.0,16655.0,4476.0,0.773,0.205,24025.0,18566.0,4936.0,35.58928601,-94.2446814,2189.0,30.0,62119.0,30587.0,31532.0,7.3,85.0,1.3,1.6,1.8,0.0,45393.0,43504.0,1870.0,22104.0,945.0,16.6,24.3,29.7,16.4,23.7,10.6,19.6,86.9,8.5,0.2,2.1,0.3,2.0,22.4,25751.0,82.6,13.6,3.7,0.1,6.2
651,Crawford,GA,0.704,0.275,5157.0,3632.0,1419.0,0.726,0.265,6102.0,4428.0,1615.0,32.71391813,-83.98061238,196.0,6.0,12385.0,6303.0,6082.0,0.7,73.5,23.3,0.1,1.1,0.0,9611.0,41032.0,5046.0,22212.0,2294.0,18.1,24.1,25.9,19.6,23.3,16.1,15.1,89.1,6.7,0.7,0.7,1.3,1.5,28.8,4604.0,72.2,23.3,4.0,0.5,12.6
652,Crawford,IA,0.672,0.289,6862.0,4608.0,1985.0,0.679,0.311,7146.0,4854.0,2220.0,42.03718237,-95.3819718,1415.0,15.0,17131.0,8878.0,8253.0,27.4,67.5,1.2,0.6,1.9,0.1,10873.0,51091.0,3288.0,27270.0,4241.0,18.5,24.1,25.9,12.6,16.0,12.2,33.3,79.2,9.6,0.0,3.5,3.5,4.1,16.3,8112.0,80.1,11.8,7.9,0.3,6.2
653,Crawford,IL,0.722,0.231,8507.0,6146.0,1969.0,0.746,0.233,9419.0,7025.0,2198.0,39.0032229,-87.75954624,684.0,6.0,19214.0,10067.0,9147.0,2.9,91.0,4.1,0.1,0.4,0.0,15335.0,47468.0,2393.0,25955.0,2015.0,11.9,12.9,28.6,16.1,21.5,11.3,22.4,84.3,10.6,0.3,1.6,0.8,2.4,15.8,8102.0,80.2,13.6,6.0,0.2,6.2
654,Crawford,IN,0.656,0.288,4591.0,3013.0,1323.0,0.703,0.275,4975.0,3499.0,1369.0,38.28814402,-86.44518825,177.0,1.0,10598.0,5355.0,5243.0,1.5,96.4,0.2,0.6,0.0,0.0,8247.0,40067.0,3534.0,19424.0,930.0,17.8,19.7,21.5,20.7,16.8,11.6,29.4,87.7,7.4,0.3,1.0,1.0,2.6,32.7,4241.0,80.9,13.7,5.4,0.0,4.3
655,Crawford,KS,0.583,0.352,14404.0,8394.0,5064.0,0.605,0.37,16125.0,9752.0,5971.0,37.50675523,-94.85245778,1449.0,12.0,39099.0,19571.0,19528.0,5.3,87.4,2.4,0.5,1.8,0.0,29691.0,38017.0,1911.0,21207.0,938.0,21.1,20.2,32.1,20.9,19.5,9.7,17.9,84.5,7.8,0.2,3.2,1.7,2.7,16.4,18426.0,76.3,17.8,5.3,0.5,5.4
656,Crawford,MI,0.637,0.309,6833.0,4354.0,2110.0,0.646,0.341,7665.0,4955.0,2612.0,44.68255561,-84.61006219,157.0,5.0,13821.0,6953.0,6868.0,1.8,95.0,0.7,0.5,0.6,0.1,11151.0,42666.0,2857.0,22891.0,1329.0,16.4,23.9,26.1,22.9,22.5,11.0,17.4,77.3,12.9,0.2,4.0,1.4,4.2,20.8,5107.0,75.9,16.6,7.1,0.5,10.4
657,Crawford,MO,0.779,0.184,9920.0,7724.0,1824.0,0.795,0.193,10973.0,8725.0,2113.0,37.97663738,-91.30528104,695.0,9.0,24387.0,12030.0,12357.0,1.9,95.5,0.3,0.0,0.1,0.0,18612.0,37171.0,3624.0,20799.0,1530.0,20.0,24.8,24.2,23.5,17.4,13.7,21.3,80.5,13.2,0.4,1.8,0.8,3.4,26.8,9420.0,79.8,10.8,8.9,0.5,11.6
658,Crawford,OH,0.709,0.242,18702.0,13265.0,4518.0,0.744,0.239,20222.0,15043.0,4831.0,40.85065156,-82.91989099,609.0,8.0,42231.0,20626.0,21605.0,1.5,95.7,0.9,0.1,0.4,0.0,32760.0,41726.0,1070.0,24386.0,1340.0,16.2,26.1,27.5,18.9,20.2,8.1,25.3,84.4,9.3,0.3,2.7,1.1,2.2,20.8,18534.0,83.2,11.4,5.4,0.0,6.4
659,Crawford,PA,0.672,0.287,35563.0,23912.0,10215.0,0.681,0.307,41125.0,28002.0,12610.0,41.68447709,-80.10760592,585.0,3.0,86847.0,42498.0,44349.0,1.2,95.1,1.9,0.1,0.4,0.0,67896.0,47179.0,1277.0,24716.0,570.0,14.5,20.0,29.8,18.3,20.3,10.4,21.2,77.1,10.9,0.4,6.1,1.4,4.2,22.0,38270.0,80.9,10.9,8.0,0.2,6.0
660,Crawford,WI,0.501,0.446,7678.0,3844.0,3426.0,0.531,0.455,8695.0,4620.0,3953.0,43.23870316,-90.93073686,389.0,1.0,16313.0,8469.0,7844.0,1.3,94.9,1.7,0.4,0.5,0.0,12833.0,47331.0,2123.0,24391.0,968.0,13.0,19.4,27.1,17.9,20.7,11.9,22.4,81.7,8.8,0.4,3.2,1.4,4.5,22.6,7530.0,77.6,14.2,8.1,0.1,4.1
661,Creek,OK,0.748,0.203,28786.0,21539.0,5834.0,0.764,0.216,30505.0,23294.0,6577.0,35.90230551,-96.37086028,1651.0,39.0,70899.0,35142.0,35757.0,3.9,76.8,2.2,11.7,0.6,0.0,53042.0,47147.0,1518.0,24056.0,623.0,15.2,22.6,29.6,17.2,22.2,12.2,18.8,84.6,8.6,0.3,0.9,0.8,4.9,24.9,30227.0,81.6,13.1,5.1,0.2,4.2
662,Crenshaw,AL,0.722,0.266,6252.0,4511.0,1663.0,0.735,0.257,6617.0,4864.0,1700.0,31.72941803,-86.31593104,621.0,30.0,13866.0,6786.0,7080.0,1.8,71.2,23.1,0.8,1.4,0.0,10551.0,38937.0,3177.0,21580.0,1212.0,17.6,22.5,26.4,13.1,24.1,13.2,23.3,81.2,12.2,0.1,1.7,0.8,4.0,28.6,5700.0,73.0,19.1,7.8,0.2,6.4
663,Crisp,GA,0.605,0.378,7500.0,4539.0,2835.0,0.619,0.371,8052.0,4987.0,2986.0,31.92289565,-83.76811843,664.0,23.0,23005.0,10813.0,12192.0,3.2,50.6,43.2,0.0,1.2,0.2,16976.0,33194.0,3700.0,21225.0,2736.0,31.2,40.6,28.7,20.0,25.1,11.6,14.6,83.8,10.5,0.3,1.0,1.7,2.8,18.8,8481.0,69.1,21.9,9.0,0.0,14.8
664,Crittenden,AR,0.437,0.526,15894.0,6953.0,8368.0,0.45,0.518,16086.0,7244.0,8325.0,35.21247318,-90.30839406,2532.0,53.0,49278.0,23303.0,25975.0,2.4,43.2,48.9,0.3,0.7,0.1,35076.0,38558.0,3004.0,20721.0,665.0,23.5,37.0,29.4,18.4,23.1,10.2,18.8,82.1,10.1,0.3,1.7,2.4,3.4,19.9,20282.0,76.9,16.5,6.5,0.2,8.4
665,Crittenden,KY,0.815,0.153,4037.0,3290.0,617.0,0.814,0.172,4242.0,3451.0,731.0,37.35839237,-88.08826090000002,173.0,1.0,9154.0,4627.0,4527.0,1.0,96.4,1.3,0.0,0.0,0.0,7000.0,41114.0,2805.0,22765.0,2086.0,17.7,25.4,28.3,17.5,18.3,14.3,21.6,77.9,13.0,0.8,2.8,1.5,3.9,24.5,3690.0,71.0,18.9,9.9,0.1,4.4
666,Crockett,TN,0.738,0.242,5386.0,3977.0,1302.0,0.764,0.226,6114.0,4673.0,1382.0,35.81830662,-89.14916269,929.0,23.0,14554.0,6915.0,7639.0,10.1,74.7,13.2,0.2,0.2,0.0,10593.0,39692.0,4450.0,21056.0,1292.0,17.7,24.1,30.0,14.8,24.2,12.2,18.9,90.8,6.0,0.0,0.9,0.4,1.9,23.2,6048.0,79.4,14.1,6.4,0.1,5.9
667,Crockett,TX,0.703,0.267,1395.0,980.0,372.0,0.775,0.219,1573.0,1219.0,344.0,30.72367027,-101.4134238,166.0,7.0,3836.0,1903.0,1933.0,66.1,33.0,0.9,0.0,0.0,0.0,2618.0,52310.0,7773.0,23296.0,3356.0,20.9,39.8,26.4,17.0,19.1,24.5,13.0,80.0,16.5,0.0,0.0,0.0,3.5,22.3,1733.0,66.9,19.2,13.8,0.0,2.4
668,Crook,OR,0.721,0.223,11638.0,8388.0,2591.0,0.732,0.245,15165.0,11103.0,3715.0,44.14230227,-120.356297,116.0,4.0,21717.0,10627.0,11090.0,7.6,88.4,0.2,0.9,0.3,0.4,16984.0,41777.0,3308.0,24239.0,1349.0,15.3,23.1,24.0,24.8,27.0,9.0,15.2,77.3,11.0,0.0,4.0,1.2,6.5,23.4,8828.0,74.3,15.5,10.1,0.1,8.3
669,Crook,WY,0.888,0.072,3771.0,3347.0,271.0,0.886,0.092,4119.0,3651.0,378.0,44.58855102,-104.56977049999999,120.0,1.0,7347.0,3760.0,3587.0,2.3,94.5,0.2,1.4,0.3,0.0,5501.0,66944.0,6637.0,34186.0,3391.0,5.1,1.7,29.0,11.2,20.4,20.3,19.1,69.1,10.0,0.8,4.0,2.6,13.4,28.0,3613.0,73.0,16.4,10.5,0.2,3.6
670,Crosby,TX,0.689,0.273,1712.0,1180.0,468.0,0.715,0.27,1953.0,1396.0,527.0,33.61431553,-101.30003640000001,117.0,7.0,5895.0,2918.0,2977.0,55.4,40.0,3.7,0.0,0.0,0.0,4174.0,38674.0,2969.0,20057.0,1734.0,20.8,29.7,30.0,18.4,21.5,19.2,10.9,85.2,7.9,0.0,2.2,3.5,1.3,21.6,2519.0,72.1,19.7,7.9,0.2,7.7
671,Cross,AR,0.667,0.291,6863.0,4577.0,1995.0,0.713,0.255,6911.0,4928.0,1759.0,35.29631396,-90.77185818,616.0,22.0,17164.0,8323.0,8841.0,1.9,73.0,22.7,0.0,0.1,0.0,12986.0,41081.0,2555.0,22894.0,2663.0,18.0,27.4,26.0,16.0,25.5,13.4,19.1,79.9,12.8,0.1,1.9,1.7,3.5,23.9,7242.0,72.3,20.2,6.9,0.5,6.8
672,Crow Wing,MN,0.627,0.309,35568.0,22287.0,10982.0,0.641,0.343,40073.0,25676.0,13726.0,46.48096553,-94.06755609,1279.0,22.0,63505.0,31769.0,31736.0,1.4,95.1,0.6,1.0,0.4,0.0,49153.0,53121.0,1367.0,30013.0,1015.0,9.6,11.1,32.9,20.3,24.1,10.0,12.8,83.3,8.0,0.4,1.5,1.6,5.2,21.4,30124.0,81.2,12.0,6.8,0.1,3.5
673,Crowley,CO,0.707,0.222,1511.0,1069.0,336.0,0.729,0.247,1730.0,1262.0,427.0,38.32608609,-103.7844965,99.0,1.0,5514.0,3752.0,1762.0,30.7,62.4,4.3,1.1,0.4,0.0,4506.0,35292.0,6589.0,14393.0,2450.0,24.6,31.3,22.2,29.1,16.0,17.8,14.9,78.3,9.5,0.0,6.2,0.4,5.6,23.1,1747.0,66.7,26.7,6.6,0.0,21.4
674,Culberson,TX,0.367,0.596,762.0,280.0,454.0,0.48,0.507,864.0,415.0,438.0,31.44506775,-104.5185739,127.0,3.0,2257.0,1162.0,1095.0,80.7,17.4,0.4,0.0,0.3,0.0,1587.0,33125.0,11492.0,16763.0,2601.0,29.4,47.3,19.3,36.0,17.9,19.7,7.1,78.0,11.6,0.0,2.6,4.6,3.2,12.5,974.0,73.4,18.8,7.8,0.0,5.3
675,Cullman,AL,0.878,0.1,37278.0,32734.0,3730.0,0.882,0.107,41751.0,36804.0,4454.0,34.13020303,-86.86888037,2831.0,25.0,81703.0,40223.0,41480.0,4.2,92.3,1.1,0.4,0.6,0.0,62012.0,40997.0,1715.0,21857.0,729.0,16.4,19.6,29.3,14.6,23.4,14.0,18.6,88.3,8.4,0.1,0.6,0.6,2.0,26.5,32072.0,81.3,11.9,6.3,0.4,5.8
676,Culpeper,VA,0.604,0.351,22087.0,13341.0,7744.0,0.591,0.392,27116.0,16012.0,10617.0,38.48199985,-77.95630870000002,1401.0,18.0,49795.0,25057.0,24738.0,9.7,71.1,13.6,0.3,1.4,0.0,35270.0,69693.0,2672.0,29979.0,1611.0,8.9,10.3,36.1,18.0,21.9,12.9,11.1,80.9,10.6,1.1,1.6,1.3,4.5,39.7,23377.0,76.1,17.1,6.6,0.1,5.9
677,Cumberland,IL,0.762,0.186,5513.0,4200.0,1028.0,0.786,0.195,5843.0,4595.0,1141.0,39.27432424,-88.2401158,323.0,6.0,10899.0,5453.0,5446.0,1.1,96.7,0.1,0.2,0.3,0.1,8386.0,50680.0,3553.0,24956.0,1209.0,14.3,19.1,26.2,17.7,18.7,14.6,22.8,85.9,7.2,0.3,2.1,0.6,4.0,22.4,5135.0,81.0,11.8,7.2,0.0,5.0
678,Cumberland,KY,0.816,0.15,3066.0,2502.0,459.0,0.837,0.154,3309.0,2769.0,508.0,36.78926125,-85.39050034,153.0,0.0,6744.0,3372.0,3372.0,0.4,93.0,3.0,0.0,0.3,0.0,5249.0,35449.0,3082.0,18669.0,2132.0,20.7,17.8,34.7,14.8,22.7,9.9,17.9,82.7,8.5,0.0,0.2,1.0,7.7,19.9,2401.0,75.9,18.7,5.4,0.0,5.1
679,Cumberland,ME,0.337,0.601,171249.0,57697.0,102935.0,0.3,0.679,6002.0,1800.0,4074.0,43.8370751,-70.37226999,2638.0,70.0,289173.0,140510.0,148663.0,2.0,90.7,2.8,0.2,2.1,0.0,226819.0,65702.0,1115.0,36780.0,670.0,10.7,12.7,45.1,16.2,23.8,7.1,7.8,76.7,8.2,1.4,4.9,1.8,7.0,22.9,157303.0,81.8,10.4,7.7,0.1,4.0
680,Cumberland,NC,0.407,0.567,124402.0,50593.0,70523.0,0.409,0.575,146204.0,59808.0,84110.0,35.04762133,-78.82623165,7324.0,100.0,332766.0,165787.0,166979.0,11.2,44.6,35.5,1.2,2.4,0.2,241963.0,44737.0,795.0,23627.0,434.0,18.2,26.5,33.0,20.7,25.7,8.5,12.1,80.1,8.9,0.6,5.7,1.2,3.5,20.5,123968.0,70.2,25.0,4.6,0.2,10.0
681,Cumberland,NJ,0.457,0.51,53018.0,24213.0,27045.0,0.469,0.518,58248.0,27294.0,30148.0,39.37199394,-75.10712559,4068.0,162.0,154952.0,79550.0,75402.0,29.7,47.4,17.7,0.5,1.3,0.0,107876.0,50000.0,1518.0,23012.0,506.0,18.8,27.9,26.1,22.1,21.2,12.2,18.3,81.7,10.2,1.9,2.5,2.0,1.7,23.6,62714.0,76.8,19.2,3.7,0.2,9.0
682,Cumberland,PA,0.571,0.385,115068.0,65649.0,44282.0,0.546,0.439,139399.0,76149.0,61168.0,40.1625372,-77.26130755,2566.0,81.0,245801.0,121449.0,124352.0,3.5,86.9,3.5,0.1,4.0,0.0,189160.0,65544.0,1244.0,34246.0,539.0,7.8,10.8,40.6,15.4,25.0,6.2,12.7,81.9,8.2,0.7,3.9,1.1,4.3,22.1,123566.0,79.6,15.3,4.9,0.2,4.2
683,Cumberland,TN,0.776,0.198,26298.0,20410.0,5202.0,0.779,0.208,32307.0,25167.0,6728.0,35.95271721,-84.99840585,1708.0,27.0,58178.0,28515.0,29663.0,2.8,94.7,0.7,0.5,0.6,0.0,47055.0,40994.0,1588.0,23668.0,915.0,16.0,24.8,27.3,18.5,23.4,11.9,19.0,84.3,10.5,0.2,1.1,0.8,3.2,22.2,20741.0,77.5,13.4,8.3,0.7,7.6
684,Cumberland,VA,0.552,0.417,4875.0,2693.0,2032.0,0.569,0.421,5302.0,3019.0,2230.0,37.51328851,-78.24398086,126.0,2.0,9797.0,4830.0,4967.0,0.1,63.1,32.5,0.9,0.0,0.0,7791.0,43020.0,3238.0,23488.0,1993.0,21.8,42.3,30.1,16.1,22.6,15.0,16.2,78.2,14.1,0.2,0.0,2.6,4.9,40.7,4810.0,70.7,20.0,9.4,0.0,7.0
685,Cuming,NE,0.776,0.179,3988.0,3095.0,712.0,0.788,0.195,4412.0,3476.0,862.0,41.91637624,-96.78730772,322.0,3.0,9039.0,4557.0,4482.0,9.9,88.5,0.1,0.4,0.1,0.2,6581.0,50734.0,3718.0,28762.0,1702.0,8.0,12.2,32.2,13.4,19.6,17.0,17.8,79.4,7.2,0.0,5.0,0.4,7.9,15.4,4819.0,72.7,12.7,13.8,0.8,2.6
686,Currituck,NC,0.73,0.232,12423.0,9070.0,2879.0,0.723,0.259,16006.0,11566.0,4151.0,36.36123664,-75.95876401,227.0,4.0,25247.0,12522.0,12725.0,3.6,87.5,5.3,0.4,0.4,0.0,19425.0,65758.0,5882.0,29340.0,1339.0,9.1,9.8,30.3,17.2,27.4,16.2,9.0,83.6,9.9,0.3,1.8,1.2,3.2,37.2,12138.0,75.9,18.2,5.8,0.1,4.8
687,Curry,NM,0.664,0.244,11383.0,7560.0,2776.0,0.692,0.285,15101.0,10444.0,4307.0,34.57421077,-103.34688759999999,1650.0,12.0,50283.0,26139.0,24144.0,41.0,49.1,5.5,0.9,1.4,0.1,34060.0,41941.0,1840.0,22628.0,1522.0,22.5,34.2,28.5,18.9,20.4,17.2,15.0,83.6,10.5,0.1,1.9,2.7,1.2,14.3,20509.0,70.3,24.8,4.8,0.1,7.8
688,Curry,OR,0.588,0.35,12163.0,7157.0,4253.0,0.569,0.406,14843.0,8441.0,6023.0,42.45911325,-124.15728200000001,62.0,2.0,22377.0,10898.0,11479.0,6.8,86.8,0.3,2.0,0.5,0.0,18657.0,42519.0,6221.0,26925.0,1652.0,15.5,20.6,34.4,21.8,23.0,12.8,8.0,75.2,8.9,0.0,6.5,1.6,7.8,14.4,7745.0,63.4,23.6,12.9,0.0,9.9
689,Custer,CO,0.672,0.26,3064.0,2059.0,797.0,0.679,0.308,3585.0,2433.0,1104.0,38.10883162,-105.3683478,24.0,0.0,4505.0,2200.0,2305.0,4.6,89.7,2.5,1.0,0.0,0.1,3781.0,41330.0,3601.0,26032.0,3966.0,15.7,25.9,30.1,24.2,11.3,24.8,9.6,66.0,11.5,0.0,2.9,0.0,19.6,27.1,1389.0,59.4,16.9,23.2,0.5,8.7
690,Custer,ID,0.736,0.177,2413.0,1777.0,427.0,0.763,0.22,2737.0,2089.0,603.0,44.24186819,-114.2855494,98.0,1.0,4141.0,2164.0,1977.0,4.0,92.2,0.0,1.1,0.0,0.0,3455.0,37976.0,6917.0,23290.0,2528.0,18.9,21.0,32.3,19.4,17.7,23.9,6.8,67.0,11.0,1.8,11.3,3.6,5.4,19.2,1722.0,71.5,18.9,9.6,0.0,4.7
691,Custer,MT,0.705,0.227,5160.0,3638.0,1172.0,0.715,0.257,5878.0,4204.0,1510.0,46.25319932,-105.57375259999998,344.0,3.0,11895.0,5916.0,5979.0,3.2,92.4,0.5,1.3,0.4,0.0,9232.0,53050.0,8518.0,28501.0,2369.0,9.8,9.8,33.8,16.7,27.6,12.3,9.5,77.1,10.0,0.7,3.5,1.7,7.0,12.8,6417.0,73.1,16.8,9.8,0.3,1.7
692,Custer,NE,0.841,0.116,5489.0,4616.0,635.0,0.85,0.131,5877.0,4996.0,768.0,41.39374521,-99.72805369,250.0,5.0,10836.0,5357.0,5479.0,2.9,95.0,0.8,0.0,0.8,0.0,8175.0,48836.0,3351.0,32605.0,4093.0,11.9,15.9,32.8,19.5,18.9,15.6,13.1,74.4,10.4,0.0,4.6,1.8,8.8,16.2,5636.0,72.4,12.6,14.6,0.4,2.5
693,Custer,OK,0.742,0.2,10531.0,7818.0,2102.0,0.754,0.222,10691.0,8060.0,2369.0,35.63853802,-99.00170785,1129.0,7.0,29169.0,14654.0,14515.0,17.5,69.3,3.0,1.7,1.2,0.1,20579.0,48520.0,3845.0,24621.0,1428.0,15.8,17.4,29.6,17.7,22.9,14.3,15.5,84.0,9.1,0.2,2.1,0.2,4.3,18.7,13819.0,71.3,19.1,9.2,0.4,3.6
694,Custer,SD,0.698,0.237,4716.0,3290.0,1120.0,0.701,0.277,5494.0,3852.0,1522.0,43.67741105,-103.45345209999999,336.0,3.0,8519.0,4275.0,4244.0,3.0,90.6,0.2,3.6,0.4,0.0,6979.0,56449.0,5055.0,31015.0,2668.0,13.2,25.1,37.5,14.7,23.6,13.8,10.4,69.4,12.1,0.7,7.8,2.1,8.0,26.1,3961.0,66.8,18.3,14.0,1.0,4.0
